step,tokens,train_loss,val_loss,lr,tok_per_sec
3710,972554240,3.2564,,2.963991e-04,125468
3720,975175680,3.2355,,2.963726e-04,125736
3730,977797120,3.2632,,2.963460e-04,125465
3740,980418560,3.2126,,2.963193e-04,125276
3750,983040000,3.2428,,2.962925e-04,125674
3760,985661440,3.2355,,2.962656e-04,125607
3770,988282880,3.2608,,2.962386e-04,125434
3780,990904320,3.2762,,2.962115e-04,125375
3790,993525760,3.2661,,2.961843e-04,125507
3800,996147200,3.2416,,2.961570e-04,125087
3810,998768640,3.2315,,2.961296e-04,125119
3820,1001390080,3.2719,,2.961022e-04,125301
3830,1004011520,3.2497,,2.960746e-04,124766
3840,1006632960,3.2359,,2.960469e-04,124994
3850,1009254400,3.2534,,2.960192e-04,125227
3860,1011875840,3.2478,,2.959913e-04,123901
3870,1014497280,3.2202,,2.959634e-04,124990
3880,1017118720,3.2657,,2.959353e-04,125106
3890,1019740160,3.2727,,2.959072e-04,124722
3900,1022361600,3.2256,,2.958789e-04,125205
3910,1024983040,3.1977,,2.958506e-04,125269
3920,1027604480,3.2067,,2.958222e-04,125402
3930,1030225920,3.2372,,2.957937e-04,125135
3940,1032847360,3.2418,,2.957650e-04,123919
3950,1035468800,3.2354,,2.957363e-04,125373
3960,1038090240,3.2431,,2.957075e-04,125647
3970,1040711680,3.2202,,2.956786e-04,125765
3980,1043333120,3.2438,,2.956496e-04,125242
3990,1045954560,3.2207,,2.956205e-04,125239
4000,1048576000,3.2130,,2.955913e-04,124979
4000,1048576000,,3.2279,2.955913e-04,
4010,1051197440,3.2264,,2.955620e-04,127586
4020,1053818880,3.2441,,2.955326e-04,126235
4030,1056440320,3.2331,,2.955032e-04,125538
4040,1059061760,3.2140,,2.954736e-04,125511
4050,1061683200,3.2123,,2.954439e-04,125414
4060,1064304640,3.2317,,2.954142e-04,125251
4070,1066926080,3.2171,,2.953843e-04,124914
4080,1069547520,3.2342,,2.953543e-04,125389
4090,1072168960,3.2147,,2.953243e-04,125481
4100,1074790400,3.2391,,2.952941e-04,125470
4110,1077411840,3.2303,,2.952639e-04,125522
4120,1080033280,3.2453,,2.952336e-04,125508
4130,1082654720,3.2066,,2.952031e-04,125391
4140,1085276160,3.2350,,2.951726e-04,125436
4150,1087897600,3.2105,,2.951420e-04,125152
4160,1090519040,3.2204,,2.951113e-04,125474
4170,1093140480,3.2247,,2.950805e-04,125410
4180,1095761920,3.2195,,2.950496e-04,125155
4190,1098383360,3.2028,,2.950186e-04,125039
4200,1101004800,3.2226,,2.949875e-04,125081
4210,1103626240,3.2416,,2.949563e-04,124762
4220,1106247680,3.2072,,2.949250e-04,124643
4230,1108869120,3.2281,,2.948936e-04,124744
4240,1111490560,3.1824,,2.948621e-04,124852
4250,1114112000,3.2229,,2.948306e-04,124880
4260,1116733440,3.1925,,2.947989e-04,124901
4270,1119354880,3.2051,,2.947671e-04,124912
4280,1121976320,3.2029,,2.947353e-04,124861
4290,1124597760,3.2081,,2.947033e-04,124854
4300,1127219200,3.1943,,2.946713e-04,124899
4310,1129840640,3.2231,,2.946392e-04,124826
4320,1132462080,3.2269,,2.946069e-04,124910
4330,1135083520,3.2089,,2.945746e-04,124836
4340,1137704960,3.1950,,2.945422e-04,124825
4350,1140326400,3.2167,,2.945097e-04,124879
4360,1142947840,3.1961,,2.944771e-04,124899
4370,1145569280,3.1979,,2.944443e-04,124820
